127.0.0.1 - - [01/Dec/2023:19:44:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Dec/2023:19:44:28 +0530] "GET /project_3/ HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [01/Dec/2023:19:44:28 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [01/Dec/2023:19:44:28 +0530] "GET /project_3/img/stars.jpg HTTP/1.1" 200 3097667
0:0:0:0:0:0:0:1 - - [01/Dec/2023:19:44:32 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3760
0:0:0:0:0:0:0:1 - - [01/Dec/2023:19:44:32 +0530] "GET /project_3/img/tree.jpg HTTP/1.1" 200 269301
0:0:0:0:0:0:0:1 - - [01/Dec/2023:19:44:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Dec/2023:19:47:04 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3760
0:0:0:0:0:0:0:1 - - [01/Dec/2023:19:47:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Dec/2023:19:47:14 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3760
0:0:0:0:0:0:0:1 - - [01/Dec/2023:19:47:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Dec/2023:19:53:12 +0530] "GET /project_3/ HTTP/1.1" 200 819
0:0:0:0:0:0:0:1 - - [01/Dec/2023:19:53:12 +0530] "GET /project_3/img/openbook.jpg HTTP/1.1" 200 17654
0:0:0:0:0:0:0:1 - - [01/Dec/2023:19:53:37 +0530] "GET /project_3/ HTTP/1.1" 200 819
0:0:0:0:0:0:0:1 - - [01/Dec/2023:19:53:37 +0530] "GET /project_3/img/openbook.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2023:19:53:37 +0530] "GET /project_3/ HTTP/1.1" 200 819
0:0:0:0:0:0:0:1 - - [01/Dec/2023:19:53:37 +0530] "GET /project_3/ HTTP/1.1" 200 819
0:0:0:0:0:0:0:1 - - [01/Dec/2023:19:53:37 +0530] "GET /project_3/ HTTP/1.1" 200 819
0:0:0:0:0:0:0:1 - - [01/Dec/2023:19:53:59 +0530] "GET /project_3/ HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [01/Dec/2023:19:59:03 +0530] "GET /project_3/ HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [01/Dec/2023:19:59:03 +0530] "GET /project_3/img/lib.jpg HTTP/1.1" 200 60255
0:0:0:0:0:0:0:1 - - [01/Dec/2023:20:02:38 +0530] "GET /project_3/ HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [01/Dec/2023:20:23:28 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3760
0:0:0:0:0:0:0:1 - - [01/Dec/2023:20:23:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Dec/2023:20:53:03 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7287
0:0:0:0:0:0:0:1 - - [01/Dec/2023:20:53:03 +0530] "GET /project_3/img/Book.jpeg HTTP/1.1" 200 72886
0:0:0:0:0:0:0:1 - - [01/Dec/2023:20:53:03 +0530] "GET /img/logo.png HTTP/1.1" 404 767
