127.0.0.1 - - [05/Dec/2023:19:52:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:52:47 +0530] "GET /project_3/ HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:52:48 +0530] "GET /project_3/img/stars.jpg HTTP/1.1" 200 3097667
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:52:48 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:52:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:53:03 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3760
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:53:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:53:04 +0530] "GET /project_3/img/tree.jpg HTTP/1.1" 200 269301
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:53:37 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7348
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:53:37 +0530] "GET /project_3/img/Book.jpeg HTTP/1.1" 200 72886
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:53:37 +0530] "GET /img/logo.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:53:46 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7595
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:53:46 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7595
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:53:46 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7595
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:54:18 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7545
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:57:27 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7638
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:57:31 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7391
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:58:03 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7287
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:58:14 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7534
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:59:45 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:59:45 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9845
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:59:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:59:57 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18260
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:59:57 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 200 95935
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:59:57 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [05/Dec/2023:19:59:57 +0530] "GET /project_3/img/whit.jpg HTTP/1.1" 200 194173
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:00:11 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 13522
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:00:17 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 13522
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:00:21 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18260
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:10:40 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18260
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:10:51 +0530] "GET /project_3/ctl/ HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:10:51 +0530] "GET /project_3/img/404.jpg HTTP/1.1" 200 89799
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:10:51 +0530] "GET /project_3/ErrorCtl/img/logo.png HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:10:56 +0530] "GET /project_3/ HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:10:56 +0530] "GET /project_3/img/true.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:11:28 +0530] "GET /project_3/ HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:11:28 +0530] "GET /project_3/img/geeta.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:11:28 +0530] "GET /project_3/ HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:11:28 +0530] "GET /project_3/img/geeta.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:11:28 +0530] "GET /project_3/ HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:11:28 +0530] "GET /project_3/img/geeta.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:11:28 +0530] "GET /project_3/ HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:11:28 +0530] "GET /project_3/img/geeta.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:11:30 +0530] "GET /project_3/ HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:11:30 +0530] "GET /project_3/img/geeta.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:11:44 +0530] "GET /project_3/ HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:11:46 +0530] "GET /project_3/ HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:13:57 +0530] "GET /project_3/ HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:13:57 +0530] "GET /project_3/img/geet.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:13:58 +0530] "GET /project_3/ HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:13:58 +0530] "GET /project_3/img/geet.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:13:59 +0530] "GET /project_3/ HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:13:59 +0530] "GET /project_3/img/geet.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:14:08 +0530] "GET /project_3/ HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:14:09 +0530] "GET /project_3/ HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:14:09 +0530] "GET /project_3/ HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:14:38 +0530] "GET /project_3/ HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:14:38 +0530] "GET /project_3/img/geeta.jpg HTTP/1.1" 200 38211
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:15:17 +0530] "GET /project_3/ HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:15:17 +0530] "GET /project_3/ HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:15:18 +0530] "GET /project_3/ HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:15:18 +0530] "GET /project_3/ HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:15:18 +0530] "GET /project_3/ HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:15:18 +0530] "GET /project_3/ HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:15:34 +0530] "GET /project_3/ HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:15:34 +0530] "GET /project_3/ HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:15:57 +0530] "GET /project_3/ HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:15:57 +0530] "GET /project_3/img/geeta.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:15:57 +0530] "GET /project_3/ HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:15:57 +0530] "GET /project_3/ HTTP/1.1" 200 824
