127.0.0.1 - - [11/Dec/2023:13:23:13 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:23:14 +0530] "GET /project_3/ HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:23:14 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:23:14 +0530] "GET /project_3/img/mahabharat.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:23:14 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:23:20 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3774
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:23:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:23:21 +0530] "GET /project_3/img/tree.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:23:28 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7301
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:23:28 +0530] "GET /project_3/img/Book.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:23:28 +0530] "GET /img/logo.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:24:57 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7252
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:24:57 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7252
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:26:40 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7302
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:26:40 +0530] "GET /project_3/img/Beach.jpeg HTTP/1.1" 200 123944
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:26:58 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:26:58 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9859
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:26:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:28:14 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 18045
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:28:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:28:14 +0530] "GET /project_3/img/whit.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:28:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:39:54 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7517
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:39:56 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:39:57 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11664
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:39:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:39:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:41:22 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11728
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:41:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:41:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:41:42 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11728
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:41:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:41:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:41:51 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 7546
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:41:54 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:41:54 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 18045
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:41:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:42:08 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 17801
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:42:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:42:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:42:46 +0530] "GET /project_3/ HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:42:49 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9859
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:42:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:42:58 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7517
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:43:06 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7302
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:43:13 +0530] "GET /project_3/ HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:43:15 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3774
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:43:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:43:19 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7302
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:43:23 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:43:23 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9859
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:43:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:44:17 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18274
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:44:17 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:44:17 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:44:17 +0530] "GET /project_3/img/welc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:58:53 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18272
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:58:53 +0530] "GET /project_3/img/my.jpg HTTP/1.1" 200 3074038
0:0:0:0:0:0:0:1 - - [11/Dec/2023:13:59:27 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18273
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:00:10 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 18045
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:00:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:01:15 +0530] "GET /project_3/ HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:01:22 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9859
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:01:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:01:32 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7517
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:01:38 +0530] "GET /project_3/ HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:01:40 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3774
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:01:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
