127.0.0.1 - - [27/Nov/2023:14:16:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Nov/2023:14:16:44 +0530] "GET /project_3/ HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [27/Nov/2023:14:16:44 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [27/Nov/2023:14:16:44 +0530] "GET /project_3/img/Index.jpeg HTTP/1.1" 200 54518
0:0:0:0:0:0:0:1 - - [27/Nov/2023:14:16:44 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Nov/2023:14:22:21 +0530] "GET /project_3/ HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [27/Nov/2023:14:22:21 +0530] "GET /project_3/ HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:47:30 +0530] "GET /project_3/ HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:47:30 +0530] "GET /project_3/ HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:47:30 +0530] "GET /img/sky.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:47:31 +0530] "GET /project_3/ HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:47:31 +0530] "GET /img/sky.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:47:51 +0530] "GET /project_3/ HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:47:51 +0530] "GET /project_3/ HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:47:51 +0530] "GET /project_3/ HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:48:27 +0530] "GET /project_3/ HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:48:27 +0530] "GET /project_3/img/jesalmer.jpg HTTP/1.1" 200 92548
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:48:28 +0530] "GET /project_3/ HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:48:28 +0530] "GET /project_3/ HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:48:28 +0530] "GET /project_3/ HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:49:06 +0530] "GET /project_3/ HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:49:06 +0530] "GET /project_3/main/webapp/img/sky.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:49:06 +0530] "GET /project_3/ HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:49:06 +0530] "GET /project_3/main/webapp/img/sky.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:49:06 +0530] "GET /project_3/ HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:49:07 +0530] "GET /project_3/main/webapp/img/sky.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:49:07 +0530] "GET /project_3/ HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:49:07 +0530] "GET /project_3/main/webapp/img/sky.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:49:07 +0530] "GET /project_3/ HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:49:07 +0530] "GET /project_3/main/webapp/img/sky.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:49:07 +0530] "GET /project_3/ HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:49:07 +0530] "GET /project_3/main/webapp/img/sky.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:49:07 +0530] "GET /project_3/ HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [27/Nov/2023:17:49:07 +0530] "GET /project_3/main/webapp/img/sky.jpg HTTP/1.1" 404 973
