127.0.0.1 - - [14/Dec/2023:11:30:59 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:31:00 +0530] "GET /project_3/ HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:31:00 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:31:00 +0530] "GET /project_3/img/mahabharat.jpg HTTP/1.1" 200 71831
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:31:01 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:44:45 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3774
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:44:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:44:45 +0530] "GET /project_3/img/tree.jpg HTTP/1.1" 200 269301
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:46:59 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3774
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:46:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:48:14 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3774
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:48:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:49:33 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3774
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:49:33 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3774
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:49:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:49:38 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3774
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:49:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:49:38 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3774
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:49:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:49:38 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3774
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:49:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:50:47 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:50:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:50:49 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:50:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:50:49 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:50:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:50:49 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:50:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:50:49 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:50:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:50:50 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:50:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:50:50 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:50:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:50:50 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:50:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:50:50 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:50:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:50:51 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [14/Dec/2023:11:50:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:12:00:46 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [14/Dec/2023:12:00:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:12:00:53 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [14/Dec/2023:12:00:54 +0530] "GET /project_3/img/Beach.jpeg HTTP/1.1" 200 123944
0:0:0:0:0:0:0:1 - - [14/Dec/2023:12:00:54 +0530] "GET /img/logo.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [14/Dec/2023:12:00:55 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [14/Dec/2023:12:00:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:12:01:00 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [14/Dec/2023:12:17:42 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7309
0:0:0:0:0:0:0:1 - - [14/Dec/2023:12:24:54 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:15:40 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:15:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:15:52 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:19:03 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:19:04 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:19:05 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:20:24 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7308
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:22:47 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7365
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:25:46 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7365
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:25:46 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7365
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:25:46 +0530] "GET /project_3/img/teahub.png HTTP/1.1" 200 109626
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:26:03 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7371
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:26:24 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:27:28 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:27:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:32:39 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:32:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:32:47 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:33:30 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3785
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:33:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:33:30 +0530] "GET /project_3/img/hanumanjiii.jpg HTTP/1.1" 200 36988
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:33:31 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3785
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:33:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:33:44 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:33:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:37:46 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3779
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:37:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:37:46 +0530] "GET /project_3/img/arjun.jpg HTTP/1.1" 200 34943
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:38:40 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3779
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:38:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:38:40 +0530] "GET /project_3/img/arjun.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:38:40 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3779
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:38:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:38:40 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3779
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:38:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:38:40 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3779
0:0:0:0:0:0:0:1 - - [14/Dec/2023:13:38:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
