127.0.0.1 - - [03/Nov/2023:00:34:28 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Nov/2023:00:34:32 +0530] "GET /project_3/ HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [03/Nov/2023:00:34:33 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [03/Nov/2023:00:34:33 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Nov/2023:00:34:38 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3755
0:0:0:0:0:0:0:1 - - [03/Nov/2023:00:34:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/Nov/2023:00:34:38 +0530] "GET /project_3/img/Class.jpeg HTTP/1.1" 200 103728
0:0:0:0:0:0:0:1 - - [03/Nov/2023:00:34:43 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7277
0:0:0:0:0:0:0:1 - - [03/Nov/2023:00:34:44 +0530] "GET /project_3/img/Book.jpeg HTTP/1.1" 200 72886
0:0:0:0:0:0:0:1 - - [03/Nov/2023:00:34:44 +0530] "GET /img/logo.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [03/Nov/2023:00:35:04 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7277
0:0:0:0:0:0:0:1 - - [03/Nov/2023:00:35:09 +0530] "GET /project_3/ HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [03/Nov/2023:00:35:09 +0530] "GET /project_3/img/Index.jpeg HTTP/1.1" 200 54518
0:0:0:0:0:0:0:1 - - [03/Nov/2023:00:35:17 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3755
0:0:0:0:0:0:0:1 - - [03/Nov/2023:00:35:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/Nov/2023:00:35:23 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7277
0:0:0:0:0:0:0:1 - - [03/Nov/2023:00:35:31 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7524
0:0:0:0:0:0:0:1 - - [03/Nov/2023:00:35:39 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2023:00:35:39 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9840
0:0:0:0:0:0:0:1 - - [03/Nov/2023:00:35:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
