127.0.0.1 - - [15/Dec/2023:11:22:47 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Dec/2023:11:23:25 +0530] "GET /project_3/ HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [15/Dec/2023:11:23:25 +0530] "GET /project_3/img/mahabharat.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2023:11:23:26 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Dec/2023:11:26:39 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3766
0:0:0:0:0:0:0:1 - - [15/Dec/2023:11:26:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Dec/2023:11:33:14 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [15/Dec/2023:11:33:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Dec/2023:11:33:16 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [15/Dec/2023:11:33:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Dec/2023:11:33:29 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3766
0:0:0:0:0:0:0:1 - - [15/Dec/2023:11:33:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Dec/2023:11:47:07 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3766
0:0:0:0:0:0:0:1 - - [15/Dec/2023:11:47:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Dec/2023:11:47:13 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3766
0:0:0:0:0:0:0:1 - - [15/Dec/2023:11:47:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Dec/2023:11:47:14 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3766
0:0:0:0:0:0:0:1 - - [15/Dec/2023:11:47:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Dec/2023:11:47:14 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3766
0:0:0:0:0:0:0:1 - - [15/Dec/2023:11:47:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Dec/2023:11:50:34 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7294
0:0:0:0:0:0:0:1 - - [15/Dec/2023:11:50:34 +0530] "GET /img/logo.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [15/Dec/2023:12:09:02 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Dec/2023:12:09:02 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9851
0:0:0:0:0:0:0:1 - - [15/Dec/2023:12:09:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Dec/2023:12:09:11 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18239
0:0:0:0:0:0:0:1 - - [15/Dec/2023:12:09:48 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18240
0:0:0:0:0:0:0:1 - - [15/Dec/2023:12:10:47 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18240
