127.0.0.1 - - [24/Nov/2023:23:23:53 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Nov/2023:23:23:58 +0530] "GET /project_3/ HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [24/Nov/2023:23:23:58 +0530] "GET /project_3/img/Index.jpeg HTTP/1.1" 200 54518
0:0:0:0:0:0:0:1 - - [24/Nov/2023:23:23:58 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [24/Nov/2023:23:23:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Nov/2023:23:24:00 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3765
0:0:0:0:0:0:0:1 - - [24/Nov/2023:23:24:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Nov/2023:23:24:00 +0530] "GET /project_3/img/welcome.jpg HTTP/1.1" 200 40223
0:0:0:0:0:0:0:1 - - [24/Nov/2023:23:24:19 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3761
0:0:0:0:0:0:0:1 - - [24/Nov/2023:23:24:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Nov/2023:23:25:07 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3761
0:0:0:0:0:0:0:1 - - [24/Nov/2023:23:25:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
